Date,Labels,Predictions,Epistemic,Aleatoric
2022-01-01 00:00:00,1.6,1.8967861,0.7233630418777466,1.0550423860549927
2022-01-01 01:00:00,1.6,1.8828776,,
2022-01-01 02:00:00,1.6,1.9801586,,
2022-01-01 03:00:00,1.6,1.6831372,,
2022-01-01 04:00:00,1.6,1.6876961,,
2022-01-01 05:00:00,1.6,2.0409067,,
2022-01-01 06:00:00,3.0,2.1336365,,
2022-01-01 07:00:00,3.0,2.1195579,,
2022-01-01 08:00:00,3.0,1.9979029,,
2022-01-01 09:00:00,3.0,2.035044,,
2022-01-01 10:00:00,3.0,2.3466878,,
2022-01-01 11:00:00,3.0,2.415722,,
2022-01-01 12:00:00,1.3,2.397259,,
2022-01-01 13:00:00,1.3,2.3406084,,
2022-01-01 14:00:00,1.3,2.5264363,,
2022-01-01 15:00:00,3.0,2.331166,,
2022-01-01 16:00:00,3.0,2.476381,,
2022-01-01 17:00:00,3.0,2.5052137,,
2022-01-01 18:00:00,1.6,2.6180737,,
2022-01-01 19:00:00,1.6,2.7205615,,
2022-01-01 20:00:00,1.6,2.4889524,,
2022-01-01 21:00:00,1.3,2.5006428,,
2022-01-01 22:00:00,1.3,2.3905864,,
2022-01-01 23:00:00,1.3,2.4336553,,
2022-01-02 00:00:00,1.3,2.3455453,,
2022-01-02 01:00:00,1.3,2.1808045,,
2022-01-02 02:00:00,1.3,2.2277982,,
2022-01-02 03:00:00,1.0,2.2754803,,
2022-01-02 04:00:00,1.0,2.0852897,,
2022-01-02 05:00:00,1.0,2.2417088,,
2022-01-02 06:00:00,2.3,1.9921532,,
2022-01-02 07:00:00,2.3,2.0818846,,
2022-01-02 08:00:00,2.3,1.8755661,,
2022-01-02 09:00:00,2.3,1.9439476,,
2022-01-02 10:00:00,2.3,1.8548723,,
2022-01-02 11:00:00,2.3,2.0053623,,
2022-01-02 12:00:00,3.3,1.6486094,,
2022-01-02 13:00:00,3.3,1.6657807,,
2022-01-02 14:00:00,3.3,1.7323596,,
2022-01-02 15:00:00,2.0,2.0839047,,
2022-01-02 16:00:00,2.0,1.8779888,,
2022-01-02 17:00:00,2.0,1.4737659,,
2022-01-02 18:00:00,4.0,1.6358572,,
2022-01-02 19:00:00,4.0,2.273695,,
2022-01-02 20:00:00,4.0,2.0589337,,
2022-01-02 21:00:00,3.3,2.2378662,,
2022-01-02 22:00:00,3.3,2.529966,,
2022-01-02 23:00:00,3.3,2.8065283,,
2022-01-03 00:00:00,3.0,2.6975324,,
2022-01-03 01:00:00,3.0,2.610825,,
2022-01-03 02:00:00,3.0,2.5892031,,
2022-01-03 03:00:00,2.0,2.5080538,,
2022-01-03 04:00:00,2.0,2.4078226,,
